Forecast timestamp;Position;Forecast base;2 metre temperature;Minimum temperature at 2 metres;Maximum temperature at 2 metres;Relative humidity;Total water precipitation;Wind speed;Downward short-wave radiation flux;Surface latent heat flux;Surface sensible heat flux;Surface net solar radiation;Surface net thermal radiation;Commune;code_commune
2021-04-12T20:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;8,033289;8,040125;9,286432;50,510532;10,40625;7,295741;34936284;-16041824;-8688880;29452356;-6723424;Gardanne;13041
2021-04-12T19:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;9,290765;9,290765;10,163995;49,580002;10,40625;8,035939;34576324;-15280752;-9109664;29150182;-6366528;Gardanne;13041
2021-04-12T20:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;9,014734;9,008875;10,317682;45,041782;9,710938;7,912929;33514970;-8650592;-12988656;28848196;-8065888;Gardanne;13041
2021-04-12T20:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;8,392664;8,383875;9,583307;47,948032;9,027344;6,522304;33599964;-11529056;-12339440;28790852;-6441824;Gardanne;13041
2021-04-12T19:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;10,318109;10,322015;11,24212;43,548752;9,707031;8,692189;33153988;-8441456;-12933280;28541926;-7674688;Gardanne;13041
2021-04-12T19:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;9,619867;9,61889;10,445245;46,423752;9,027344;6,731252;33240004;-11031152;-12611744;28483558;-6076736;Gardanne;13041
2021-04-12T18:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;10,146143;10,150049;10,751123;49,355995;10,40625;8,107766;33551800;-14286944;-9237856;28289802;-5990080;Gardanne;13041
2021-04-12T18:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;11,230127;11,228174;11,829248;43,074745;9,707031;8,740579;32131512;-8149088;-12507488;27668234;-7236288;Gardanne;13041
2021-04-12T18:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;10,45376;10,446924;10,938623;46,293495;9,027344;7,099954;32219576;-10381408;-12516704;27612938;-5698240;Gardanne;13041
2021-04-12T20:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;8,591882;8,587;9,927057;47,635532;8,710938;7,116054;33693148;-12561248;-9935088;27554884;-6854496;Gardanne;13041
2021-04-12T19:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;9,93725;9,947015;10,820245;45,923752;8,710938;7,528127;33333188;-12147312;-10144928;27261926;-6491968;Gardanne;13041
2021-04-12T20:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;8,255945;8,258875;9,473932;48,666782;9,363281;7,811366;32974298;-13999968;-8353008;27126852;-6551392;Gardanne;13041
2021-04-12T17:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;10,704492;10,705469;11,053125;51,967457;10,40625;8,147967;31840452;-13130688;-9002352;26850512;-5597904;Gardanne;13041
2021-04-12T19:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;9,466547;9,46264;10,288995;47,298752;9,363281;8,254689;32613316;-13465200;-8661152;26831846;-6196544;Gardanne;13041
2021-04-12T18:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;10,832666;10,821924;11,407373;45,574745;8,710938;7,810891;32310712;-11566176;-10032480;26431242;-6103232;Gardanne;13041
2021-04-12T17:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;11,806055;11,799219;12,178125;45,342457;9,707031;8,87453;30422212;-7792576;-11688304;26201296;-6754000;Gardanne;13041
2021-04-12T17:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;10,970117;10,971094;11,25625;48,404957;9,027344;7,265154;30514372;-9607104;-11993456;26155216;-5308112;Gardanne;13041
2021-04-12T18:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;10,292627;10,290674;10,797998;47,449745;9,363281;8,482766;31590840;-12743776;-8668512;25993994;-5819072;Gardanne;13041
2021-04-12T17:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;11,400781;11,392969;11,75625;47,998707;8,710938;7,968279;30603460;-10827712;-9557360;25038032;-5692112;Gardanne;13041
2021-04-12T16:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;11,036279;11,03042;11,212061;54,413673;10,40625;8,073769;29521840;-11884080;-8416976;24895962;-5191264;Gardanne;13041
2021-04-12T17:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;10,799219;10,799219;11,1;49,842457;9,363281;8,632342;29880516;-11845568;-8332656;24589520;-5421264;Gardanne;13041
